date,symbol,k_pred_ret,k_up_prob,k_pred_vol,turnover,pct_chg,amplitude,label_fwd_ret_5d
2018-08-13,300308,0.13195156328605884,1.0,0.0668164952423477,2.69,3.68,7.91,0.003068829460762812
2018-08-14,300308,-0.041891537022036594,0.3333333333333333,0.062278771964435514,1.48,-0.09,5.09,-0.00438788942518642
2018-08-15,300308,0.0512046652159636,0.6666666666666666,0.07852319809856159,1.44,-5.48,5.66,-0.004178272980501441
2018-08-16,300308,0.05532584489959939,1.0,0.044832511842243475,2.11,2.97,7.94,0.006311992786294018
2018-08-17,300308,0.04838383602673213,1.0,0.039541515775898595,2.6,1.08,5.41,-0.039250669045495234
2018-08-20,300308,0.04171368397313702,0.6666666666666666,0.05059333154643581,2.1,2.05,7.76,0.04763986013986021
2018-08-21,300308,-0.03688469688931262,0.3333333333333333,0.03597145673191815,1.63,-0.83,4.2,0.10136624063464073
2018-08-22,300308,0.02370542209894792,0.6666666666666666,0.03146971332341853,1.69,-5.46,5.64,0.13799533799533803
2018-08-23,300308,0.02832708232793683,0.6666666666666666,0.023093559505584935,2.5,4.06,6.43,0.03897849462365599
2018-08-24,300308,0.0716287608357455,0.6666666666666666,0.09776779358787989,1.58,-3.49,4.88,-0.02367688022284109
2018-08-27,300308,0.060828259396353834,0.6666666666666666,0.08444408100850781,3.73,11.28,10.12,-0.15143929912390486
2018-08-28,300308,-0.05281976671448304,0.3333333333333333,0.05187447676139335,4.69,4.26,7.72,-0.1644657863145258
2018-08-29,300308,-0.06386789741938437,0.3333333333333333,0.15070327993177607,2.79,-2.32,4.28,-0.18435067595247845
2018-08-30,300308,0.02613647827665196,0.6666666666666666,0.08868085469684138,4.31,-5.0,6.31,-0.13842173350582154
2018-08-31,300308,-0.05171517035871028,0.0,0.032018193992061114,4.83,-9.31,9.53,-0.06799809795530198
2018-09-03,300308,0.0026329235222622613,0.6666666666666666,0.073597401030053,4.01,-3.28,7.09,-0.14601769911504414
2018-09-04,300308,0.10527890035653657,1.0,0.03238770770587775,2.91,2.65,4.72,-0.13074712643678166
2018-09-05,300308,0.03281597829260896,1.0,0.017510149901794128,2.67,-4.65,4.98,-0.05273731793068814
2018-09-06,300308,0.05737554913247308,0.6666666666666666,0.08576957263553543,2.23,0.35,4.72,-0.004004004004004136
2018-09-07,300308,0.06463233430981437,0.6666666666666666,0.0889383868095654,3.03,-1.9,6.51,-0.01479591836734706
2018-09-10,300308,0.13450416902295573,1.0,0.032801855033146005,4.72,-11.38,12.14,0.1249280368451351
2018-09-11,300308,0.14180133521636926,1.0,0.031192290596944117,3.02,4.49,5.81,0.04958677685950419
2018-09-12,300308,0.1743097506716671,1.0,0.14879033229415725,3.27,3.91,6.83,0.012195121951219523
2018-09-13,300308,0.15056892467834548,1.0,0.03953601526550417,4.85,5.51,6.42,-0.03266331658291455
2018-09-14,300308,0.014135990110873483,0.3333333333333333,0.09425102810313493,2.31,-2.96,6.83,0.015018125323666531
2018-09-17,300308,0.0428664887196328,0.6666666666666666,0.07721371338733751,2.38,1.19,5.02,0.013817809621289534
2018-09-18,300308,0.062200826737954795,0.6666666666666666,0.06145330058604396,4.11,-2.51,8.8,0.04986876640419946
2018-09-19,300308,0.011986820090786924,0.3333333333333333,0.03425586545283527,3.69,0.21,8.03,0.0015715034049241794
2018-09-20,300308,-0.00018756294283794883,0.3333333333333333,0.023141357355802587,2.65,0.84,6.08,0.012467532467532294
2018-09-21,300308,0.012902891481077483,0.3333333333333333,0.040537390165091815,2.74,1.82,6.86,0.017857142857142794
2018-09-25,300308,-0.03932091330184425,0.3333333333333333,0.058287493337850764,2.1,1.07,3.72,0.003028773346794633
2018-09-26,300308,0.014088453035773477,0.6666666666666666,0.04297079430084002,2.75,0.96,4.59,-0.07100000000000006
2018-09-27,300308,-0.018690363566080743,0.3333333333333333,0.0785938990626105,2.39,-4.4,5.4,-0.11715481171548126
2018-09-28,300308,0.08917956571698686,1.0,0.04921508569969655,1.71,1.94,4.6,-0.1262185736275011
2018-10-08,300308,0.08049920181423172,1.0,0.07358657584458773,4.27,2.36,11.13,-0.1433583959899749
2018-10-09,300308,0.04190026508736033,0.3333333333333333,0.12252910047460552,2.26,-0.4,5.56,-0.15400100654252658
2018-10-10,300308,-0.03145012409969824,0.3333333333333333,0.025383859555135807,3.25,-6.49,13.24,-0.07427341227125939
2018-10-11,300308,-0.028056746620750268,0.0,0.02078902993291014,2.78,-9.15,7.1,-0.007701421800947794
2018-10-12,300308,0.05440887794675423,0.6666666666666666,0.08711082179865619,2.62,0.89,8.35,0.032883147386964184
2018-10-15,300308,-0.029496925221098147,0.3333333333333333,0.0270505258156124,2.11,0.35,5.34,0.12463428905792862
2018-10-16,300308,0.016890851521738453,0.3333333333333333,0.06444086471340119,1.34,-1.64,4.45,0.10469958358120168
2018-10-17,300308,0.04109126614266726,0.3333333333333333,0.12240842608948863,1.94,2.32,6.9,0.05755813953488387
2018-10-18,300308,-0.10115389860877692,0.0,0.029803602517633778,1.36,-2.62,4.07,0.07462686567164178
2018-10-19,300308,0.019491850440181906,0.3333333333333333,0.029713222906186398,2.36,5.01,9.19,0.009096077316657292
2018-10-22,300308,-0.059787509521345594,0.0,0.01996000828682182,3.33,9.27,8.75,-0.060874089490114414
2018-10-23,300308,-0.010930936286071447,0.6666666666666666,0.05444061022615986,2.39,-3.38,5.93,-0.08939149165320415
2018-10-24,300308,-0.028265683789202762,0.0,0.033483854749519176,1.66,-2.05,4.15,-0.07861462341946124
2018-10-25,300308,-0.06018173080760314,0.3333333333333333,0.10928608039363312,2.17,-1.04,5.33,-0.039444444444444504
